Name,Team,Number,Position,Age,Height,Weight,College,Salary,height,AgeGroup
Brandan Wright,Memphis Grizzlies,34,PF,28,2023-10-06 00:00:00,210,North Carolina,5464000.0,156,26-30
Alexis Ajinca,New Orleans Pelicans,42,C,28,2023-02-07 00:00:00,248,,4389607.0,151,26-30
Ryan Anderson,New Orleans Pelicans,33,PF,28,2023-10-06 00:00:00,240,California,8500000.0,152,26-30
Omer Asik,New Orleans Pelicans,3,C,29,7-0,255,,9213483.0,166,26-30
Luke Babbitt,New Orleans Pelicans,8,SF,26,2023-09-06 00:00:00,225,Nevada,1100602.0,154,26-30
Norris Cole,New Orleans Pelicans,30,PG,27,2023-02-06 00:00:00,175,Cleveland State,3036927.0,166,26-30
Dante Cunningham,New Orleans Pelicans,44,PF,29,2023-08-06 00:00:00,230,Villanova,2850000.0,173,26-30
Anthony Davis,New Orleans Pelicans,23,PF,23,2023-10-06 00:00:00,253,Kentucky,7070730.0,166,18-25
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,2023-06-06 00:00:00,203,Iowa State,169883.0,176,18-25
Toney Douglas,New Orleans Pelicans,16,PG,30,2023-02-06 00:00:00,195,Florida State,1164858.0,166,26-30
James Ennis,New Orleans Pelicans,4,SF,25,2023-07-06 00:00:00,210,Long Beach State,845059.0,151,18-25
Tyreke Evans,New Orleans Pelicans,1,SG,26,2023-06-06 00:00:00,220,Memphis,10734586.0,151,26-30
Tim Frazier,New Orleans Pelicans,2,PG,25,2023-01-06 00:00:00,170,Penn State,845059.0,177,18-25
Alonzo Gee,New Orleans Pelicans,15,SF,29,2023-06-06 00:00:00,225,Alabama,1320000.0,171,26-30
Eric Gordon,New Orleans Pelicans,10,SG,27,2023-04-06 00:00:00,215,Indiana,15514031.0,172,26-30
Jordan Hamilton,New Orleans Pelicans,25,SG,25,2023-07-06 00:00:00,220,Texas,1015421.0,154,18-25
Jrue Holiday,New Orleans Pelicans,11,PG,25,2023-04-06 00:00:00,205,UCLA,10595507.0,150,18-25
Orlando Johnson,New Orleans Pelicans,0,SG,27,2023-05-06 00:00:00,220,UC Santa Barbara,55722.0,150,26-30
Kendrick Perkins,New Orleans Pelicans,5,C,31,2023-10-06 00:00:00,270,,947276.0,168,31-35
Quincy Pondexter,New Orleans Pelicans,20,SF,28,2023-07-06 00:00:00,220,Washington,3382023.0,179,26-30
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,2023-11-06 00:00:00,240,Texas,19689000.0,151,26-30
Kyle Anderson,San Antonio Spurs,1,SF,22,2023-09-06 00:00:00,230,UCLA,1142880.0,170,18-25
Matt Bonner,San Antonio Spurs,15,C,36,2023-10-06 00:00:00,235,Florida,947276.0,161,36-40
Boris Diaw,San Antonio Spurs,33,C,34,2023-08-06 00:00:00,250,,7500000.0,175,31-35
Tim Duncan,San Antonio Spurs,21,C,40,2023-11-06 00:00:00,250,Wake Forest,5250000.0,155,36-40
Manu Ginobili,San Antonio Spurs,20,SG,38,2023-06-06 00:00:00,205,,2814000.0,172,36-40
Danny Green,San Antonio Spurs,14,SG,28,2023-06-06 00:00:00,215,North Carolina,10000000.0,153,26-30
Kawhi Leonard,San Antonio Spurs,2,SF,24,2023-07-06 00:00:00,230,San Diego State,16407500.0,172,18-25
Boban Marjanovic,San Antonio Spurs,40,C,27,2023-03-07 00:00:00,290,,1200000.0,160,26-30
Kevin Martin,San Antonio Spurs,23,SG,33,2023-07-06 00:00:00,199,Western Carolina,200600.0,173,31-35
Andre Miller,San Antonio Spurs,24,PG,40,2023-03-06 00:00:00,200,Utah,250750.0,176,36-40
Patty Mills,San Antonio Spurs,8,PG,27,6-0,185,Saint Mary's,3578947.0,166,26-30
Tony Parker,San Antonio Spurs,9,PG,34,2023-02-06 00:00:00,185,,13437500.0,180,31-35
Jonathon Simmons,San Antonio Spurs,17,SG,26,2023-06-06 00:00:00,195,Houston,525093.0,155,26-30
David West,San Antonio Spurs,30,PF,35,2023-09-06 00:00:00,250,Xavier,1499187.0,173,31-35
Kent Bazemore,Atlanta Hawks,24,SF,26,2023-05-06 00:00:00,201,Old Dominion,2000000.0,154,26-30
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,2023-06-06 00:00:00,205,Michigan,1304520.0,169,18-25
Kirk Hinrich,Atlanta Hawks,12,SG,35,2023-04-06 00:00:00,190,Kansas,2854940.0,151,31-35
Al Horford,Atlanta Hawks,15,C,30,2023-10-06 00:00:00,245,Florida,12000000.0,155,26-30
Kris Humphries,Atlanta Hawks,43,PF,31,2023-09-06 00:00:00,235,Minnesota,1000000.0,171,31-35
Kyle Korver,Atlanta Hawks,26,SG,35,2023-07-06 00:00:00,212,Creighton,5746479.0,160,31-35
Paul Millsap,Atlanta Hawks,4,PF,31,2023-08-06 00:00:00,246,Louisiana Tech,18671659.0,180,31-35
Mike Muscala,Atlanta Hawks,31,PF,24,2023-11-06 00:00:00,240,Bucknell,947276.0,165,18-25
Lamar Patterson,Atlanta Hawks,13,SG,24,2023-05-06 00:00:00,225,Pittsburgh,525093.0,165,18-25
Dennis Schroder,Atlanta Hawks,17,PG,22,2023-01-06 00:00:00,172,,1763400.0,150,18-25
Mike Scott,Atlanta Hawks,32,PF,27,2023-08-06 00:00:00,237,Virginia,3333333.0,158,26-30
Thabo Sefolosha,Atlanta Hawks,25,SF,32,2023-07-06 00:00:00,220,,4000000.0,177,31-35
Tiago Splitter,Atlanta Hawks,11,C,31,2023-11-06 00:00:00,245,,9756250.0,176,31-35
Walter Tavares,Atlanta Hawks,22,C,24,2023-03-07 00:00:00,260,,1000000.0,155,18-25
Jeff Teague,Atlanta Hawks,0,PG,27,2023-02-06 00:00:00,186,Wake Forest,8000000.0,165,26-30
Nicolas Batum,Charlotte Hornets,5,SG,27,2023-08-06 00:00:00,200,,13125306.0,178,26-30
Troy Daniels,Charlotte Hornets,30,SG,24,2023-04-06 00:00:00,205,Virginia Commonwealth,947276.0,152,18-25
Jorge Gutierrez,Charlotte Hornets,12,PG,27,2023-03-06 00:00:00,189,California,189455.0,169,26-30
Tyler Hansbrough,Charlotte Hornets,50,PF,30,2023-09-06 00:00:00,250,North Carolina,947276.0,177,26-30
Aaron Harrison,Charlotte Hornets,9,SG,21,2023-06-06 00:00:00,210,Kentucky,525093.0,176,18-25
Spencer Hawes,Charlotte Hornets,0,PF,28,2023-01-07 00:00:00,245,Washington,6110034.0,153,26-30
Al Jefferson,Charlotte Hornets,25,C,31,2023-10-06 00:00:00,289,,13500000.0,168,31-35
Frank Kaminsky III,Charlotte Hornets,44,C,23,7-0,240,Wisconsin,2612520.0,175,18-25
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,2023-07-06 00:00:00,232,Kentucky,6331404.0,152,18-25
Jeremy Lamb,Charlotte Hornets,3,SG,24,2023-05-06 00:00:00,185,Connecticut,3034356.0,180,18-25
Courtney Lee,Charlotte Hornets,1,SG,30,2023-05-06 00:00:00,200,Western Kentucky,5675000.0,168,26-30
Jeremy Lin,Charlotte Hornets,7,PG,27,2023-03-06 00:00:00,200,Harvard,2139000.0,169,26-30
Kemba Walker,Charlotte Hornets,15,PG,26,2023-01-06 00:00:00,184,Connecticut,12000000.0,156,26-30
Marvin Williams,Charlotte Hornets,2,PF,29,2023-09-06 00:00:00,237,North Carolina,7000000.0,169,26-30
Cody Zeller,Charlotte Hornets,40,C,23,7-0,240,Indiana,4204200.0,158,18-25
Chris Bosh,Miami Heat,1,PF,32,2023-11-06 00:00:00,235,Georgia Tech,22192730.0,150,31-35
Luol Deng,Miami Heat,9,SF,31,2023-09-06 00:00:00,220,Duke,10151612.0,157,31-35
Goran Dragic,Miami Heat,7,PG,30,2023-03-06 00:00:00,190,,14783000.0,156,26-30
Gerald Green,Miami Heat,14,SF,30,2023-07-06 00:00:00,205,,947276.0,167,26-30
Udonis Haslem,Miami Heat,40,PF,36,2023-08-06 00:00:00,235,Florida,2854940.0,157,36-40
Joe Johnson,Miami Heat,2,SF,34,2023-07-06 00:00:00,240,Arkansas,261894.0,150,31-35
Tyler Johnson,Miami Heat,8,SG,24,2023-04-06 00:00:00,186,Fresno State,845059.0,160,18-25
Josh McRoberts,Miami Heat,4,PF,29,2023-10-06 00:00:00,240,Duke,5543725.0,177,26-30
Josh Richardson,Miami Heat,0,SG,22,2023-06-06 00:00:00,200,Tennessee,525093.0,174,18-25
Amar'e Stoudemire,Miami Heat,5,PF,33,2023-10-06 00:00:00,245,,947276.0,174,31-35
Dwyane Wade,Miami Heat,3,SG,34,2023-04-06 00:00:00,220,Marquette,20000000.0,167,31-35
Briante Weber,Miami Heat,12,PG,23,2023-02-06 00:00:00,165,Virginia Commonwealth,,172,18-25
Hassan Whiteside,Miami Heat,21,C,26,7-0,265,Marshall,981348.0,180,26-30
Justise Winslow,Miami Heat,20,SF,20,2023-07-06 00:00:00,225,Duke,2481720.0,179,18-25
Dorell Wright,Miami Heat,11,SF,30,2023-09-06 00:00:00,205,,,159,26-30
Dewayne Dedmon,Orlando Magic,3,C,26,7-0,245,USC,947276.0,152,26-30
Evan Fournier,Orlando Magic,10,SG,23,2023-07-06 00:00:00,205,,2288205.0,156,18-25
Aaron Gordon,Orlando Magic,0,PF,20,2023-09-06 00:00:00,220,Arizona,4171680.0,177,18-25
Mario Hezonja,Orlando Magic,23,SG,21,2023-08-06 00:00:00,218,,3741480.0,165,18-25
Ersan Ilyasova,Orlando Magic,7,PF,29,2023-10-06 00:00:00,235,,7900000.0,175,26-30
Brandon Jennings,Orlando Magic,55,PG,26,2023-01-06 00:00:00,169,,8344497.0,165,26-30
Devyn Marble,Orlando Magic,11,SF,23,2023-06-06 00:00:00,200,Iowa,845059.0,174,18-25
Shabazz Napier,Orlando Magic,13,PG,24,2023-01-06 00:00:00,175,Connecticut,1294440.0,169,18-25
Andrew Nicholson,Orlando Magic,44,PF,26,2023-09-06 00:00:00,250,St. Bonaventure,2380593.0,177,26-30
Victor Oladipo,Orlando Magic,5,SG,24,2023-04-06 00:00:00,210,Indiana,5192520.0,166,18-25
Elfrid Payton,Orlando Magic,4,PG,22,2023-04-06 00:00:00,185,Louisiana-Lafayette,2505720.0,151,18-25
Jason Smith,Orlando Magic,14,PF,30,7-0,240,Colorado State,4300000.0,150,26-30
Nikola Vucevic,Orlando Magic,9,C,25,7-0,260,USC,11250000.0,165,18-25
C.J. Watson,Orlando Magic,32,PG,32,2023-02-06 00:00:00,175,Tennessee,5000000.0,179,31-35
Alan Anderson,Washington Wizards,6,SG,33,2023-06-06 00:00:00,220,Michigan State,4000000.0,161,31-35
Bradley Beal,Washington Wizards,3,SG,22,2023-05-06 00:00:00,207,Florida,5694674.0,154,18-25
Jared Dudley,Washington Wizards,1,SF,30,2023-07-06 00:00:00,225,Boston College,4375000.0,154,26-30
Jarell Eddie,Washington Wizards,8,SG,24,2023-07-06 00:00:00,218,Virginia Tech,561716.0,176,18-25
Drew Gooden,Washington Wizards,90,PF,34,2023-10-06 00:00:00,250,Kansas,3300000.0,172,31-35
Marcin Gortat,Washington Wizards,13,C,32,2023-11-06 00:00:00,240,,11217391.0,158,31-35
JJ Hickson,Washington Wizards,21,C,27,2023-09-06 00:00:00,242,North Carolina State,273038.0,158,26-30
Nene Hilario,Washington Wizards,42,C,33,2023-11-06 00:00:00,250,,13000000.0,152,31-35
Markieff Morris,Washington Wizards,5,PF,26,2023-10-06 00:00:00,245,Kansas,8000000.0,168,26-30
Kelly Oubre Jr.,Washington Wizards,12,SF,20,2023-07-06 00:00:00,205,Kansas,1920240.0,165,18-25
Otto Porter Jr.,Washington Wizards,22,SF,23,2023-08-06 00:00:00,198,Georgetown,4662960.0,165,18-25
Ramon Sessions,Washington Wizards,7,PG,30,2023-03-06 00:00:00,190,Nevada,2170465.0,152,26-30
Garrett Temple,Washington Wizards,17,SG,30,2023-06-06 00:00:00,195,LSU,1100602.0,169,26-30
Marcus Thornton,Washington Wizards,15,SF,29,2023-04-06 00:00:00,205,LSU,200600.0,173,26-30
John Wall,Washington Wizards,2,PG,25,2023-04-06 00:00:00,195,Kentucky,15851950.0,171,18-25
Darrell Arthur,Denver Nuggets,0,PF,28,2023-09-06 00:00:00,235,Kansas,2814000.0,173,26-30
D.J. Augustin,Denver Nuggets,12,PG,28,6-0,183,Texas,3000000.0,150,26-30
Will Barton,Denver Nuggets,5,SF,25,2023-06-06 00:00:00,175,Memphis,3533333.0,173,18-25
Wilson Chandler,Denver Nuggets,21,SF,29,2023-08-06 00:00:00,225,DePaul,10449438.0,169,26-30
Kenneth Faried,Denver Nuggets,35,PF,26,2023-08-06 00:00:00,228,Morehead State,11235955.0,160,26-30
Danilo Gallinari,Denver Nuggets,8,SF,27,2023-10-06 00:00:00,225,,14000000.0,166,26-30
Gary Harris,Denver Nuggets,14,SG,21,2023-04-06 00:00:00,210,Michigan State,1584480.0,157,18-25
Nikola Jokic,Denver Nuggets,15,C,21,2023-10-06 00:00:00,250,,1300000.0,153,18-25
Joffrey Lauvergne,Denver Nuggets,77,C,24,2023-11-06 00:00:00,220,,1709719.0,155,18-25
Mike Miller,Denver Nuggets,3,SG,36,2023-08-06 00:00:00,218,Florida,947276.0,157,36-40
Emmanuel Mudiay,Denver Nuggets,0,PG,20,2023-05-06 00:00:00,200,,3102240.0,169,18-25
Jameer Nelson,Denver Nuggets,1,PG,34,6-0,190,Saint Joseph's,4345000.0,179,31-35
Jusuf Nurkic,Denver Nuggets,23,C,21,7-0,280,,1842000.0,152,18-25
JaKarr Sampson,Denver Nuggets,9,SG,23,2023-09-06 00:00:00,214,St. John's,258489.0,165,18-25
Axel Toupane,Denver Nuggets,6,SG,23,2023-07-06 00:00:00,210,,,179,18-25
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,2023-10-06 00:00:00,240,,3950001.0,174,26-30
Gorgui Dieng,Minnesota Timberwolves,5,C,26,2023-11-06 00:00:00,241,Louisville,1474440.0,152,26-30
Kevin Garnett,Minnesota Timberwolves,21,PF,40,2023-11-06 00:00:00,240,,8500000.0,174,36-40
Tyus Jones,Minnesota Timberwolves,1,PG,20,2023-02-06 00:00:00,195,Duke,1282080.0,178,18-25
Zach LaVine,Minnesota Timberwolves,8,PG,21,2023-05-06 00:00:00,189,UCLA,2148360.0,167,18-25
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,2023-06-06 00:00:00,223,UCLA,2056920.0,163,18-25
Adreian Payne,Minnesota Timberwolves,33,PF,25,2023-10-06 00:00:00,237,Michigan State,1938840.0,167,18-25
Nikola Pekovic,Minnesota Timberwolves,14,C,30,2023-11-06 00:00:00,307,,12100000.0,151,26-30
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,2023-09-06 00:00:00,212,Kentucky,947276.0,171,36-40
Ricky Rubio,Minnesota Timberwolves,9,PG,25,2023-04-06 00:00:00,194,,12700000.0,152,18-25
Damjan Rudez,Minnesota Timberwolves,10,SF,29,2023-09-06 00:00:00,230,,1149500.0,165,26-30
Greg Smith,Minnesota Timberwolves,4,PF,25,2023-10-06 00:00:00,250,Fresno State,,178,18-25
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,7-0,244,Kentucky,5703600.0,158,18-25
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,2023-08-06 00:00:00,199,Kansas,5758680.0,153,18-25
Steven Adams,Oklahoma City Thunder,12,C,22,7-0,255,Pittsburgh,2279040.0,150,18-25
Nick Collison,Oklahoma City Thunder,4,PF,35,2023-10-06 00:00:00,255,Kansas,3750000.0,153,31-35
Kevin Durant,Oklahoma City Thunder,35,SF,27,2023-09-06 00:00:00,240,Texas,20158622.0,150,26-30
Randy Foye,Oklahoma City Thunder,6,SG,32,2023-04-06 00:00:00,213,Villanova,3135000.0,163,31-35
Josh Huestis,Oklahoma City Thunder,34,SF,24,2023-07-06 00:00:00,230,Stanford,1140240.0,170,18-25
Serge Ibaka,Oklahoma City Thunder,9,PF,26,2023-10-06 00:00:00,245,,12250000.0,165,26-30
Enes Kanter,Oklahoma City Thunder,11,C,24,2023-11-06 00:00:00,245,Kentucky,16407500.0,169,18-25
Mitch McGary,Oklahoma City Thunder,33,PF,24,2023-10-06 00:00:00,255,Michigan,1463040.0,173,18-25
Nazr Mohammed,Oklahoma City Thunder,13,C,38,2023-10-06 00:00:00,250,Kentucky,222888.0,157,36-40
Anthony Morrow,Oklahoma City Thunder,2,SG,30,2023-05-06 00:00:00,210,Georgia Tech,3344000.0,156,26-30
Cameron Payne,Oklahoma City Thunder,22,PG,21,2023-03-06 00:00:00,185,Murray State,2021520.0,152,18-25
Andre Roberson,Oklahoma City Thunder,21,SG,24,2023-07-06 00:00:00,210,Colorado,1210800.0,166,18-25
Kyle Singler,Oklahoma City Thunder,5,SF,28,2023-08-06 00:00:00,228,Duke,4500000.0,150,26-30
Dion Waiters,Oklahoma City Thunder,3,SG,24,2023-04-06 00:00:00,220,Syracuse,5138430.0,165,18-25
Russell Westbrook,Oklahoma City Thunder,0,PG,27,2023-03-06 00:00:00,200,UCLA,16744218.0,161,26-30
Cliff Alexander,Portland Trail Blazers,34,PF,20,2023-08-06 00:00:00,240,Kansas,525093.0,176,18-25
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,2023-09-06 00:00:00,215,Wake Forest,8042895.0,168,18-25
Pat Connaughton,Portland Trail Blazers,5,SG,23,2023-05-06 00:00:00,206,Notre Dame,625093.0,171,18-25
Allen Crabbe,Portland Trail Blazers,23,SG,24,2023-06-06 00:00:00,210,California,947276.0,172,18-25
Ed Davis,Portland Trail Blazers,17,C,27,2023-10-06 00:00:00,240,North Carolina,6980802.0,171,26-30
Maurice Harkless,Portland Trail Blazers,4,SF,23,2023-09-06 00:00:00,215,St. John's,2894059.0,163,18-25
Gerald Henderson,Portland Trail Blazers,9,SG,28,2023-05-06 00:00:00,215,Duke,6000000.0,179,26-30
Chris Kaman,Portland Trail Blazers,35,C,34,7-0,265,Central Michigan,5016000.0,155,31-35
Meyers Leonard,Portland Trail Blazers,11,PF,24,2023-01-07 00:00:00,245,Illinois,3075880.0,155,18-25
Damian Lillard,Portland Trail Blazers,0,PG,25,2023-03-06 00:00:00,195,Weber State,4236287.0,162,18-25
C.J. McCollum,Portland Trail Blazers,3,SG,24,2023-04-06 00:00:00,200,Lehigh,2525160.0,168,18-25
Luis Montero,Portland Trail Blazers,44,SG,23,2023-07-06 00:00:00,185,Westchester CC,525093.0,171,18-25
Mason Plumlee,Portland Trail Blazers,24,C,26,2023-11-06 00:00:00,235,Duke,1415520.0,157,26-30
Brian Roberts,Portland Trail Blazers,2,PG,30,2023-01-06 00:00:00,173,Dayton,2854940.0,176,26-30
Noah Vonleh,Portland Trail Blazers,21,PF,20,2023-09-06 00:00:00,240,Indiana,2637720.0,176,18-25
Trevor Booker,Utah Jazz,33,PF,28,2023-08-06 00:00:00,228,Clemson,4775000.0,151,26-30
Trey Burke,Utah Jazz,3,PG,23,2023-01-06 00:00:00,191,Michigan,2658240.0,170,18-25
Alec Burks,Utah Jazz,10,SG,24,2023-06-06 00:00:00,214,Colorado,9463484.0,179,18-25
Dante Exum,Utah Jazz,11,PG,20,2023-06-06 00:00:00,190,,3777720.0,150,18-25
Derrick Favors,Utah Jazz,15,PF,24,2023-10-06 00:00:00,265,Georgia Tech,12000000.0,177,18-25
Rudy Gobert,Utah Jazz,27,C,23,2023-01-07 00:00:00,245,,1175880.0,164,18-25
Gordon Hayward,Utah Jazz,20,SF,26,2023-08-06 00:00:00,226,Butler,15409570.0,150,26-30
Rodney Hood,Utah Jazz,5,SG,23,2023-08-06 00:00:00,206,Duke,1348440.0,154,18-25
Joe Ingles,Utah Jazz,2,SF,28,2023-08-06 00:00:00,226,,2050000.0,177,26-30
Chris Johnson,Utah Jazz,23,SF,26,2023-06-06 00:00:00,206,Dayton,981348.0,178,26-30
Trey Lyles,Utah Jazz,41,PF,20,2023-10-06 00:00:00,234,Kentucky,2239800.0,165,18-25
Shelvin Mack,Utah Jazz,8,PG,26,2023-03-06 00:00:00,203,Butler,2433333.0,168,26-30
Raul Neto,Utah Jazz,25,PG,24,2023-01-06 00:00:00,179,,900000.0,153,18-25
Tibor Pleiss,Utah Jazz,21,C,26,2023-03-07 00:00:00,256,,2900000.0,152,26-30
Jeff Withey,Utah Jazz,24,C,26,7-0,231,Kansas,947276.0,166,26-30
Priyanka,Utah Jazz,34,C,25,2023-03-07 00:00:00,231,Kansas,947276.0,166,18-25
